Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Volleyball duration (ms),High intensity interval training duration (ms)
2018-05-29,1701.8669921060055,324.9165983200073,,,,,0.4013557339135303,1.2372345924377441,0.33245065808296204,1534,,,,23,,81392889,1225500,,,
2018-05-30,1682.1314542546909,424.52875900268555,,,,,1.1179974009861586,3.4600000381469727,0.27666446566581726,942,,,,8,,85013281,866483,,,
2018-05-31,1826.3639671135616,826.3041422963142,,,,,0.6135879065415725,1.3544285297393799,0.2828267216682434,2506,,,,24,,76106258,3490270,,,
2018-06-01,1825.8463439948505,3144.2891214489937,12.933988571166992,80.20829010009766,12.942441940307617,80.21401977539062,0.9825138585162627,9.510000228881836,0.0897289514541626,1686,,,,45,1479634,79317048,1896547,,,
2018-06-02,1692.5794367880776,542.9519315958023,,,,,0.6188755292071006,13.449999809265137,0.3087725043296814,1339,65.0,65.0,65.0,16,,82057875,2077303,,,
2018-06-03,2216.520812711104,9023.026980042458,12.93420696258545,80.20840454101562,12.977225303649902,80.26637268066406,0.8533463092477123,12.960000038146973,0.0606839582324028,11058,,,,148,1750772,69194322,10695494,,,
2018-06-04,1657.6298228287314,396.22358989715576,,,,,0.7228360508625411,4.980000019073486,0.2849252223968506,1348,,,,10,,78872843,1454686,,,
2018-06-05,1693.768831413081,809.9163994789124,,,,,0.8490601052905179,1.4972145557403564,0.33924946188926697,1767,,,,27,,76755433,2173554,,,
2018-06-06,1697.9053829152044,152.01936674118042,,,,,0.4439497951119239,0.948897659778595,0.25129759311676025,1437,,,,20,1053906,83658142,1126227,,,
2018-06-07,1696.618977049458,60.71250128746033,12.934554100036621,80.21251678466797,12.934554100036621,80.21251678466797,0.1780059498965236,0.5906200408935547,0.015078713186085224,550,,,,28,1666094,84289430,444476,,,
2018-06-08,1853.3372706856665,2579.593794107437,12.934038162231445,80.19485473632812,12.997126579284668,80.2125244140625,1.2380771863155298,19.850000381469727,0.0,3537,,,,70,1675134,72664777,3552195,,,
2018-06-09,814.3023965836189,927.1609582901001,,,,,2.988969803800987,31.0,0.030731402337551117,1445,,,,18,,71179814,2719001,,,
